model,split,seed,best_valid_f1,test_micro_f1
gin,random,0,0.6527336565791674,0.6565572404599234
gin,random,1,0.66744118501307,0.6565249813571962
gin,random,2,0.6505441354292624,0.6545643153526971
gin,random,3,0.650390625,0.6621556307394877
gin,random,4,0.670926517571885,0.6903654485049834
gin,bfs,0,0.4732519422863485,0.5083419155509784
gin,bfs,1,0.6884301488238118,0.6934318291312028
gin,bfs,2,0.5035574936883177,0.5521676989042401
gin,bfs,3,0.4719562243502052,0.469067405355494
gin,bfs,4,0.4159381304640215,0.5388194242512359
gin,dfs,0,0.5684890054468429,0.5028297033098954
gin,dfs,1,0.6472631056722342,0.6548556430446194
gin,dfs,2,0.5548444052085633,0.5488958990536278
gin,dfs,3,0.7469253421098215,0.5503939146970932
gin,dfs,4,0.5697955594636184,0.4134396355353075
dpdgat,random,0,0.7353436399816318,0.7294262421165975
dpdgat,random,1,0.7462865716429107,0.7285074857231054
dpdgat,random,2,0.7581903276131046,0.7450069670227589
dpdgat,random,3,0.7381568926123382,0.7362670713201821
dpdgat,random,4,0.7166321160899378,0.7636529126213593
dpdgat,bfs,0,0.46622833233711897,0.37529002320185617
dpdgat,bfs,1,0.7375298804780877,0.7162141194724593
dpdgat,bfs,2,0.4691003161828112,0.3822235704535113
dpdgat,bfs,3,0.4763796283160732,0.43336971019764764
dpdgat,bfs,4,0.4613409415121255,0.392987012987013
dpdgat,dfs,0,0.5459049839696881,0.5411700232908617
dpdgat,dfs,1,0.7392325763508223,0.7305555555555555
dpdgat,dfs,2,0.4876291888506107,0.5038705137227305
dpdgat,dfs,3,0.597718180471181,0.4789068718492969
dpdgat,dfs,4,0.5321901792673421,0.529976717112922
